,steps,answer,gt_answer,question_idx,em,reward,f1
0,1,NOT ENOUGH INFO,NOT ENOUGH INFO,4741,1,1,1
1,1,NOT ENOUGH INFO,SUPPORTS,6030,0,0,0
2,1,REFUTES,NOT ENOUGH INFO,5615,0,0,0
3,1,REFUTES,NOT ENOUGH INFO,5545,0,0,0
4,1,REFUTES,REFUTES,3653,1,1,1
5,2,REFUTES,REFUTES,2559,1,1,1
6,1,NOT ENOUGH INFO,SUPPORTS,2951,0,0,0
7,2,NOT ENOUGH INFO,REFUTES,5931,0,0,0
8,1,NOT ENOUGH INFO,SUPPORTS,2451,0,0,0
9,1,NOT ENOUGH INFO,SUPPORTS,4980,0,0,0
10,1,NOT ENOUGH INFO,SUPPORTS,4220,0,0,0
11,1,NOT ENOUGH INFO,NOT ENOUGH INFO,4176,1,1,1
12,2,SUPPORTS,SUPPORTS,5426,1,1,1
13,1,NOT ENOUGH INFO,SUPPORTS,1917,0,0,0
14,1,REFUTES,REFUTES,3414,1,1,1
15,1,NOT ENOUGH INFO,SUPPORTS,280,0,0,0
16,2,SUPPORTS,NOT ENOUGH INFO,4859,0,0,0
17,1,NOT ENOUGH INFO,NOT ENOUGH INFO,1748,1,1,1
18,2,REFUTES,SUPPORTS,7067,0,0,0
19,2,REFUTES,REFUTES,6467,1,1,1
20,1,NOT_ENOUGH_INFO,NOT ENOUGH INFO,6128,0,0,0
21,2,NOT ENOUGH INFO,SUPPORTS,6875,0,0,0
22,1,REFUTES,REFUTES,3473,1,1,1
23,2,NOT ENOUGH INFO,NOT ENOUGH INFO,7390,1,1,1
24,1,NOT ENOUGH INFO,REFUTES,1886,0,0,0
25,2,REFUTES,REFUTES,7096,1,1,1
26,1,NOT ENOUGH INFO,SUPPORTS,468,0,0,0
27,2,SUPPORTS,SUPPORTS,129,1,1,1
28,2,NOT ENOUGH INFO,NOT ENOUGH INFO,4080,1,1,1
29,1,NOT ENOUGH INFO,SUPPORTS,3738,0,0,0
30,2,REFUTES,REFUTES,612,1,1,1
31,2,SUPPORTS,REFUTES,3162,0,0,0
32,2,REFUTES,REFUTES,4758,1,1,1
33,2,REFUTES,SUPPORTS,6951,0,0,0
34,2,REFUTES,NOT ENOUGH INFO,7136,0,0,0
35,1,NOT ENOUGH INFO,NOT ENOUGH INFO,2563,1,1,1
36,1,NOT ENOUGH_INFO,NOT ENOUGH INFO,3531,0,0,0
37,1,NOT ENOUGH INFO,SUPPORTS,2679,0,0,0
38,2,SUPPORTS,NOT ENOUGH INFO,1245,0,0,0
39,1,REFUTES,NOT ENOUGH INFO,565,0,0,0
40,2,REFUTES,SUPPORTS,7085,0,0,0
41,2,SUPPORTS,SUPPORTS,3095,1,1,1
42,1,NOT ENOUGH INFO,NOT ENOUGH INFO,6434,1,1,1
43,2,NOT ENOUGH_INFO,NOT ENOUGH INFO,4360,0,0,0
44,1,NOT ENOUGH INFO,NOT ENOUGH INFO,1146,1,1,1
45,1,REFUTES,NOT ENOUGH INFO,4752,0,0,0
46,2,NOT ENOUGH_INFO,SUPPORTS,6952,0,0,0
47,2,SUPPORTS,REFUTES,687,0,0,0
48,1,NOT ENOUGH INFO,REFUTES,4185,0,0,0
49,1,NOT ENOUGH INFO,REFUTES,670,0,0,0
50,1,NOT ENOUGH INFO,NOT ENOUGH INFO,4261,1,1,1
